C1;0;H02
C2;0;P04
C3;0;N11
C4;0;I12
C5;0;N02
C6;0;H03
C7;0;Z
C8;0;U01/U03/U06
C9;0;G09
C10;0;O08
C1;243;H02
C2;265;P04
C4;298;N11
C6;307;N02
C3;308;I12
C7;316;H03
C8;367;G09
C4;419;Z
C10;459;U01/U03/U06
C2;535;H02
C9;542;O08
C7;619;H03
C1;697;P04
C3;712;I12
C4;716;Z
C5;756;N11
C6;756;N02
C9;768;G09
C10;768;U01/U03/U06
C3;855;H02
C9;871;O08
C7;976;Z
C4;1051;P04
C2;1079;I12
C7;1097;H03
C8;1115;BO3
C10;1115;G09
C2;1197;N11
C3;1212;H02
C5;1221;N02
C7;1232;P04
C9;1248;U01/U03/U06
C6;1395;Z
C1;1519;I12
C5;1519;H03
C8;1539;N02
C9;1554;G09
C3;1599;N11
C4;1637;H02
C7;1637;P04
C10;1637;U01/U03/U06
C5;1741;Z
C2;1801;I12
C4;1828;H03
C3;1903;N11
C5;1910;H02
C6;1922;P04
C6;1940;N02
C8;1990;Z
C9;2000;G09
C2;2034;I12
C7;2071;H03
C10;2118;U01/U03/U06
C3;2226;N11
C6;2236;H02
C7;2238;P04
C4;2310;N02
C8;2318;Z
C3;2400;I12
C2;2451;H03
C6;2458;G09
C10;2471;P04
C7;2535;N11
C6;2581;H02
C7;2632;Z
C10;2643;U01/U03/U06
C4;2738;N02
C8;2764;N11
C3;2840;H03
C2;2897;I12
C5;2901;G09
C6;2908;H02
C8;2916;O08
C9;2924;Z
C10;2985;P04
C4;3066;H03
C4;3085;I12
C5;3089;N02
C6;3138;H02
C8;3168;N11
C5;3253;G09
C10;3289;F01
C2;3361;H03
C3;3379;I12
C4;3418;N02
C5;3428;O08
C9;3439;P04
C10;3439;H02
C6;3515;G09
C7;3529;N11
C2;3698;H03
C3;3707;I12
C6;3709;N02
C6;3740;F01
C9;3746;P04
C8;3757;H02
C4;3810;O08
C5;3859;G09
C10;3876;N11
C5;4022;N02
C6;4028;O08
C4;4060;I12
C5;4077;F01
C2;4092;H03
C6;4123;H02
C9;4140;P04
C10;4185;P07
C6;4245;G09
C6;4296;N02
C2;4359;H03
C7;4359;O08
C3;4387;I12
C8;4430;F01
C9;4430;P04
C9;4480;C02
C3;4633;I12
C9;4689;N02
C2;4719;H03
C10;4778;X01/X02
C2;4846;G09
C5;4858;P07
C4;4887;O08
C2;4923;H03
C5;4939;I12
C10;4959;M02
